b1,b2,b3,b4,soil_type
59,91,104,83,1
51,79,96,79,1
63,95,109,92,1
75,107,123,96,1
63,95,100,83,1
67,107,118,96,1
67,111,123,100,1
71,107,118,96,1
71,107,109,92,1
63,71,76,55,7
70,83,92,70,7
74,79,88,74,7
86,100,108,92,3
66,91,100,81,1
56,83,100,81,1
49,75,100,78,1
56,75,92,74,1
56,79,92,78,1
52,67,80,74,1
56,67,84,70,1
52,71,84,74,1
56,79,96,74,1
63,91,108,89,1
56,83,100,81,1
56,79,100,81,1
70,100,117,92,1
66,109,122,100,1
70,113,117,100,1
66,104,108,92,1
87,112,114,90,3
96,108,119,94,3
92,99,105,86,3
92,108,114,98,3
49,73,97,79,1
56,84,97,79,1
52,66,86,72,1
59,91,105,86,1
67,103,124,94,1
63,108,124,98,1
67,103,114,90,1
67,95,105,86,1
67,71,78,58,7
67,84,85,65,7
78,97,97,76,3
82,102,105,80,3
85,106,110,83,3
89,106,110,87,3
93,111,119,97,3
67,71,82,65,7
74,102,114,90,1
63,97,114,94,1
57,97,105,90,1
57,84,93,76,1
53,79,93,73,1
53,79,93,73,1
57,106,110,90,1
67,111,119,94,1
70,111,119,97,1
88,111,111,91,3
88,106,106,87,3
88,111,111,94,3
92,111,115,94,3
64,62,82,65,7
76,102,111,91,3
53,69,86,72,1
50,66,82,76,1
53,73,90,76,1
57,73,90,76,1
57,85,94,79,1
53,81,90,79,1
60,94,102,87,1
60,98,111,87,1
60,102,111,94,1
68,111,120,98,1
68,102,111,87,1
64,98,111,91,1
68,102,111,91,1
64,73,90,79,7
84,103,108,81,3
88,107,113,92,3
84,103,104,81,3
84,103,108,85,3
84,103,108,88,3
76,83,96,74,7
71,99,108,88,1
60,95,113,92,1
53,95,108,88,1
53,79,100,81,1
53,71,91,74,1
64,99,113,92,1
64,95,108,88,1
60,87,96,81,1
56,83,100,81,1
56,91,104,85,1
68,107,122,96,1
64,99,113,88,1
64,95,108,85,1
64,64,83,74,5
60,61,79,70,5
93,107,113,92,3
88,107,113,87,3
84,103,109,79,3
88,103,109,92,3
84,103,109,92,3
51,68,81,71,1
59,79,96,79,1
59,83,89,79,1
63,95,104,87,1
63,95,109,87,1
67,95,100,87,1
63,95,104,83,1
67,103,113,92,1
71,111,128,96,1
44,37,118,133,2
44,32,118,129,2
59,87,104,83,1
51,51,81,79,5
48,42,74,75,5
90,100,108,81,3
86,104,108,85,3
90,104,108,89,3
86,100,108,89,3
82,96,100,81,3
86,96,100,81,3
74,109,112,96,1
66,104,112,92,1
52,63,80,70,1
56,75,92,78,1
63,96,108,89,1
56,87,100,85,1
63,100,108,96,1
66,100,117,92,1
66,104,122,103,1
66,113,117,100,1
66,109,117,100,1
46,32,112,133,2
49,46,69,66,5
87,103,110,83,3
83,91,97,79,3
83,95,101,83,3
87,99,105,86,3
63,99,114,90,1
52,73,82,75,1
59,81,101,83,1
63,95,110,90,1
63,103,119,90,1
63,99,110,94,1
42,32,114,135,2
42,30,110,139,2
42,30,114,135,2
59,63,79,72,5
82,97,101,80,3
85,102,110,87,3
85,102,110,90,3
89,102,110,87,3
89,102,114,87,3
89,106,114,94,3
89,97,101,80,3
85,97,105,80,3
82,92,105,76,3
85,92,101,83,3
85,92,105,83,3
67,97,110,94,1
57,97,110,94,1
50,71,89,76,1
50,71,85,76,1
50,79,93,76,1
50,79,89,76,1
60,88,101,83,1
63,79,97,83,1
67,97,114,87,1
60,92,105,87,1
53,84,110,87,1
53,84,105,83,1
63,92,110,94,1
67,102,119,97,1
74,106,124,104,1
67,102,119,97,1
70,111,124,101,1
67,111,114,97,1
60,88,110,97,1
44,31,114,140,2
63,75,89,73,7
88,102,102,79,3
84,98,106,83,3
84,102,106,87,3
64,98,111,91,1
53,69,86,72,1
50,73,90,76,1
53,77,94,76,1
50,73,90,76,1
50,69,86,72,1
53,77,90,76,1
60,77,90,79,1
68,106,115,94,1
57,94,111,87,1
60,85,102,87,1
60,85,102,87,1
64,106,115,94,1
64,106,120,98,1
68,102,115,94,1
50,31,115,128,2
47,34,111,128,2
44,34,115,128,2
44,31,115,131,2
50,43,98,109,2
57,73,86,72,5
68,77,98,79,7
80,91,96,78,3
80,95,100,78,3
88,112,113,88,3
92,112,118,88,3
84,103,104,81,3
84,99,104,81,3
88,103,108,88,3
50,68,87,74,1
50,75,91,81,1
56,75,91,74,1
53,79,96,81,1
56,79,91,78,1
60,83,96,81,1
68,91,104,85,1
68,87,104,88,1
64,83,96,88,1
68,99,108,85,1
56,95,108,92,1
64,99,113,92,1
68,99,118,99,1
71,103,122,96,1
50,36,113,128,2
50,57,96,96,5
56,61,96,88,5
64,68,104,88,5
64,64,108,92,5
60,61,108,99,5
64,61,108,99,5
80,95,100,81,4
68,71,83,67,7
84,99,100,79,3
51,72,85,75,1
51,75,93,75,1
51,75,89,75,1
51,72,81,71,1
75,91,109,92,1
75,95,104,87,1
67,83,96,79,1
67,99,109,92,1
63,95,109,87,1
63,87,100,83,1
63,103,113,96,1
67,99,113,96,1
67,91,104,92,1
67,99,109,92,1
55,64,104,92,5
59,64,100,92,5
59,58,93,83,5
59,58,104,100,5
75,87,93,79,4
71,75,85,71,7
86,96,104,81,3
86,96,108,81,3
86,96,104,81,3
82,96,100,78,3
90,104,112,89,3
90,100,108,85,3
86,104,104,81,3
86,104,112,85,3
86,100,104,81,3
52,83,100,81,1
56,83,92,81,1
66,100,108,89,1
63,83,100,85,1
63,83,100,85,1
66,87,100,85,1
66,83,96,81,1
63,87,108,89,1
63,104,117,92,1
70,104,112,96,1
70,100,112,92,1
66,104,122,96,1
70,100,117,96,1
70,100,108,89,1
59,67,104,96,5
52,56,80,74,5
59,67,104,96,5
63,67,108,96,5
83,95,105,83,3
83,95,101,79,3
79,95,101,79,3
92,103,110,90,3
96,108,114,90,3
92,103,110,86,3
87,99,105,86,3
83,99,105,83,3
83,95,105,90,3
52,81,97,79,1
52,70,86,72,1
56,81,97,79,1
63,95,110,86,1
63,84,101,83,1
63,81,93,83,1
59,88,101,83,1
67,84,93,83,1
59,77,90,75,1
59,73,97,79,1
59,73,93,75,1
59,81,93,79,1
63,91,101,90,1
63,99,114,90,1
67,103,114,94,1
71,103,114,98,1
75,112,119,98,1
71,108,114,94,1
67,77,97,79,1
63,81,101,86,1
71,95,119,94,1
59,70,105,94,5
59,63,86,83,5
52,54,86,83,5
49,45,86,86,5
49,51,86,83,5
63,66,97,94,5
78,92,97,76,3
82,97,97,80,3
85,97,97,80,3
93,111,114,90,3
50,71,89,80,1
53,71,89,73,1
50,71,85,73,1
53,79,89,76,1
57,75,97,76,1
63,79,89,83,1
67,88,105,87,1
67,92,101,90,1
60,84,97,80,1
63,92,105,87,1
67,102,114,90,1
67,97,114,90,1
60,75,101,83,5
60,75,97,80,5
60,71,93,80,5
57,67,93,83,5
53,60,93,80,5
47,49,82,83,5
63,71,101,87,5
74,88,105,83,4
74,92,101,80,4
74,84,97,76,4
88,106,111,98,3
50,69,86,72,1
50,73,94,76,1
50,73,94,79,1
53,77,98,79,1
57,73,90,76,1
53,73,90,76,1
60,73,90,79,1
64,85,98,83,1
64,85,102,83,1
60,81,90,79,1
68,98,111,91,1
64,98,111,91,1
68,106,120,94,1
72,111,120,94,1
72,106,115,94,1
60,77,94,76,1
57,81,90,76,1
60,85,94,79,1
50,52,82,83,5
50,52,78,83,5
60,62,106,94,5
84,103,108,92,3
80,95,96,74,3
84,99,113,88,3
53,91,104,88,1
50,79,104,85,1
50,75,91,78,1
50,79,96,81,1
53,79,96,81,1
53,71,83,74,1
53,71,87,74,1
60,83,96,81,1
60,83,100,85,1
64,95,113,88,1
68,103,113,88,1
68,107,113,92,1
60,83,100,81,1
64,83,104,88,1
56,64,91,81,5
56,68,87,74,5
60,64,104,99,5
64,71,108,96,5
88,103,109,87,3
88,103,113,96,3
67,103,113,96,1
55,91,109,87,1
55,87,100,87,1
51,72,89,75,1
59,79,93,79,1
63,87,100,83,1
67,103,113,92,1
71,103,113,92,1
71,107,113,96,1
71,103,118,96,1
71,103,109,92,1
71,99,113,92,1
71,99,118,96,1
71,79,109,92,1
63,87,100,87,1
59,75,96,87,1
59,75,96,75,5
63,79,93,75,5
63,68,109,92,5
